Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2024-01-02,187.14999389648438,188.44000244140625,183.88999938964844,185.63999938964844,184.0814971923828,82488700,AAPL
2024-01-03,184.22000122070312,185.8800048828125,183.42999267578125,184.25,182.70318603515625,58414500,AAPL
2024-01-04,182.14999389648438,183.08999633789062,180.8800048828125,181.91000366210938,180.3828125,71983600,AAPL
2024-01-05,181.99000549316406,182.75999450683594,180.1699981689453,181.17999267578125,179.65895080566406,62379700,AAPL
2024-01-08,182.08999633789062,185.60000610351562,181.5,185.55999755859375,184.00218200683594,59144500,AAPL
2024-01-09,183.9199981689453,185.14999389648438,182.72999572753906,185.13999938964844,183.585693359375,42841800,AAPL
2024-01-10,184.35000610351562,186.39999389648438,183.9199981689453,186.19000244140625,184.6268768310547,46792900,AAPL
2024-01-11,186.5399932861328,187.0500030517578,183.6199951171875,185.58999633789062,184.0319061279297,49128400,AAPL
2024-01-12,186.05999755859375,186.74000549316406,185.19000244140625,185.9199981689453,184.35914611816406,40477800,AAPL
2024-01-16,182.16000366210938,184.25999450683594,180.92999267578125,183.6300048828125,182.08840942382812,65603000,AAPL
2024-01-17,181.27000427246094,182.92999267578125,180.3000030517578,182.67999267578125,181.14633178710938,47317400,AAPL
2024-01-18,186.08999633789062,189.13999938964844,185.8300018310547,188.6300048828125,187.04640197753906,78005800,AAPL
2024-01-19,189.3300018310547,191.9499969482422,188.82000732421875,191.55999755859375,189.95179748535156,68903000,AAPL
2024-01-22,192.3000030517578,195.3300018310547,192.25999450683594,193.88999938964844,192.26223754882812,60133900,AAPL
2024-01-23,195.02000427246094,195.75,193.8300018310547,195.17999267578125,193.54141235351562,42355600,AAPL
2024-01-24,195.4199981689453,196.3800048828125,194.33999633789062,194.5,192.8671112060547,53631300,AAPL
2024-01-25,195.22000122070312,196.27000427246094,193.11000061035156,194.1699981689453,192.53990173339844,54822100,AAPL
2024-01-26,194.27000427246094,194.75999450683594,191.94000244140625,192.4199981689453,190.80459594726562,44594000,AAPL
2024-01-29,192.00999450683594,192.1999969482422,189.5800018310547,191.72999572753906,190.12037658691406,47145600,AAPL
2024-01-30,190.94000244140625,191.8000030517578,187.47000122070312,188.0399932861328,186.46136474609375,55859400,AAPL
2024-01-31,187.0399932861328,187.10000610351562,184.35000610351562,184.39999389648438,182.85191345214844,55467800,AAPL
2024-02-01,183.99000549316406,186.9499969482422,183.82000732421875,186.86000061035156,185.29127502441406,64885400,AAPL
2024-02-02,179.86000061035156,187.3300018310547,179.25,185.85000610351562,184.2897491455078,102551700,AAPL
2024-02-05,188.14999389648438,189.25,185.83999633789062,187.67999267578125,186.10438537597656,69668800,AAPL
2024-02-06,186.86000061035156,189.30999755859375,186.77000427246094,189.3000030517578,187.7107696533203,43490800,AAPL
2024-02-07,190.63999938964844,191.0500030517578,188.61000061035156,189.41000366210938,187.81985473632812,53439000,AAPL
2024-02-08,189.38999938964844,189.5399932861328,187.35000610351562,188.32000732421875,186.739013671875,40962000,AAPL
2024-02-09,188.64999389648438,189.99000549316406,188.0,188.85000610351562,187.50352478027344,45155200,AAPL
2024-02-12,188.4199981689453,188.6699981689453,186.7899932861328,187.14999389648438,185.81564331054688,41781900,AAPL
2024-02-13,185.77000427246094,186.2100067138672,183.50999450683594,185.0399932861328,183.72067260742188,56529500,AAPL
2024-02-14,185.32000732421875,185.52999877929688,182.44000244140625,184.14999389648438,182.83702087402344,54630500,AAPL
2024-02-15,183.5500030517578,184.49000549316406,181.35000610351562,183.86000061035156,182.54905700683594,65434500,AAPL
2024-02-16,183.4199981689453,184.85000610351562,181.6699981689453,182.30999755859375,181.01016235351562,49752500,AAPL
2024-02-20,181.7899932861328,182.42999267578125,180.0,181.55999755859375,180.26548767089844,53665600,AAPL
2024-02-21,181.94000244140625,182.88999938964844,180.66000366210938,182.32000732421875,181.02008056640625,41371400,AAPL
2024-02-22,183.47999572753906,184.9600067138672,182.4600067138672,184.3699951171875,183.0554656982422,52292200,AAPL
2024-02-23,185.00999450683594,185.0399932861328,182.22999572753906,182.52000427246094,181.21865844726562,45119700,AAPL
2024-02-26,182.24000549316406,182.75999450683594,180.64999389648438,181.16000366210938,179.86834716796875,40867400,AAPL
2024-02-27,181.10000610351562,183.9199981689453,179.55999755859375,182.6300048828125,181.32786560058594,54318900,AAPL
2024-02-28,182.50999450683594,183.1199951171875,180.1300048828125,181.4199981689453,180.12648010253906,48953900,AAPL
2024-02-29,181.27000427246094,182.57000732421875,179.52999877929688,180.75,179.46127319335938,136682600,AAPL
2024-03-01,179.5500030517578,180.52999877929688,177.3800048828125,179.66000366210938,178.37904357910156,73563100,AAPL
2024-03-04,176.14999389648438,176.89999389648438,173.7899932861328,175.10000610351562,173.85153198242188,81510100,AAPL
2024-03-05,170.75999450683594,172.0399932861328,169.6199951171875,170.1199951171875,168.9070281982422,95132400,AAPL
2024-03-06,171.05999755859375,171.24000549316406,168.67999267578125,169.1199951171875,167.9141845703125,68587700,AAPL
2024-03-07,169.14999389648438,170.72999572753906,168.49000549316406,169.0,167.7950439453125,71765100,AAPL
2024-03-08,169.0,173.6999969482422,168.94000244140625,170.72999572753906,169.5126953125,76267000,AAPL
2024-03-11,172.94000244140625,174.3800048828125,172.0500030517578,172.75,171.51829528808594,60139500,AAPL
2024-03-12,173.14999389648438,174.02999877929688,171.00999450683594,173.22999572753906,171.994873046875,59825400,AAPL
2024-03-13,172.77000427246094,173.19000244140625,170.75999450683594,171.1300048828125,169.9098663330078,52488700,AAPL
2024-03-14,172.91000366210938,174.30999755859375,172.0500030517578,173.0,171.76651000976562,72913500,AAPL
2024-03-15,171.1699981689453,172.6199951171875,170.2899932861328,172.6199951171875,171.38922119140625,121752700,AAPL
2024-03-18,175.57000732421875,177.7100067138672,173.52000427246094,173.72000122070312,172.4813690185547,75604200,AAPL
2024-03-19,174.33999633789062,176.61000061035156,173.02999877929688,176.0800018310547,174.82455444335938,55215200,AAPL
2024-03-20,175.72000122070312,178.6699981689453,175.08999633789062,178.6699981689453,177.39608764648438,53423100,AAPL
2024-03-21,177.0500030517578,177.49000549316406,170.83999633789062,171.3699951171875,170.14813232421875,106181300,AAPL
2024-03-22,171.75999450683594,173.0500030517578,170.05999755859375,172.27999877929688,171.0516357421875,71160100,AAPL
2024-03-25,170.57000732421875,171.94000244140625,169.4499969482422,170.85000610351562,169.63186645507812,54288300,AAPL
2024-03-26,170.0,171.4199981689453,169.5800018310547,169.7100067138672,168.5,57388400,AAPL
2024-03-27,170.41000366210938,173.60000610351562,170.11000061035156,173.30999755859375,172.07431030273438,60273300,AAPL
